seed,violations,score
0,92,2085
1,80,2025
2,83,1934
3,81,2410
4,80,2349
5,78,2014
6,99,2046
7,83,1718
8,97,2145
9,80,2107
10,86,1661
11,107,2225
12,98,1913
13,73,2004
14,92,2086
15,78,2184
16,105,2144
17,93,1796
18,80,2209
19,98,1947
20,87,2047
21,94,2129
22,95,2113
23,79,2242
24,91,1914
25,86,2116
26,96,2124
27,93,2060
28,87,2015
29,89,2245
30,83,2221
31,93,2362
32,103,2138
33,89,2409
34,82,2029
35,95,2052
36,100,2275
37,90,2315
38,86,2053
39,80,2188
40,88,1956
41,94,2038
42,93,1996
43,94,2091
44,83,2018
45,89,2225
46,84,2309
47,98,2470
48,88,2348
49,87,1695
50,91,2371
51,93,2144
52,82,2207
53,89,2017
54,95,2017
55,97,2462
56,87,2167
57,88,2302
58,96,2258
59,84,2089
60,81,2255
61,89,2097
62,77,2189
63,89,2151
64,95,2039
65,84,2170
66,84,2730
67,85,2470
68,95,2329
69,87,2075
70,96,2150
71,90,2088
72,102,2038
73,85,1999
74,93,2094
75,91,2267
76,101,2129
77,81,2038
78,83,2106
79,90,2061
80,86,1978
81,82,1739
82,96,2186
83,89,2033
84,81,2264
85,109,2304
86,101,1864
87,91,2152
88,99,1963
89,99,1932
90,95,1994
91,87,1891
92,86,2230
93,91,2154
94,101,2247
95,97,1770
96,85,2271
97,91,1941
98,86,2037
99,81,2291
100,80,2182
101,89,2105
102,82,2314
103,81,1756
104,96,1955
105,86,2066
106,95,2044
107,98,2183
108,91,1924
109,99,2081
110,91,2065
111,80,2132
112,96,2133
113,93,2263
114,90,2008
115,87,1909
116,82,2366
117,90,2255
118,103,2110
119,101,1805
120,79,1853
121,92,1885
122,81,2096
123,89,1997
124,73,2188
125,93,2116
126,83,2031
127,83,2135
128,93,2146
129,78,2008
130,91,2129
131,89,2222
132,94,2418
133,90,1986
134,91,1924
135,92,2165
136,89,2224
137,80,1721
138,92,2209
139,79,1927
140,93,1974
141,77,2170
142,95,2158
143,86,2034
144,96,1977
145,87,2257
146,94,2154
147,93,2125
148,92,1814
149,92,2118
150,88,1802
151,100,2275
152,81,2039
153,94,2002
154,92,2003
155,83,1891
156,70,2283
157,94,1655
158,97,2223
159,94,2310
160,95,1863
161,85,2233
162,85,2402
163,83,2183
164,94,2034
165,83,1840
166,94,1831
167,90,2118
168,85,2245
169,83,1842
170,105,2225
171,92,2443
172,90,2151
173,90,1965
174,98,1971
175,84,1973
176,87,1989
177,90,1959
178,81,2116
179,76,2164
180,93,2414
181,95,1941
182,81,1853
183,95,1877
184,91,2373
185,88,2110
186,83,1900
187,85,2348
188,96,2285
189,96,2217
190,94,2048
191,82,2083
192,84,2186
193,90,1856
194,84,1966
195,90,2317
196,91,2023
197,87,2255
198,94,2253
199,110,2089
200,88,2142
201,94,2210
202,82,2087
203,83,2287
204,79,2150
205,78,2151
206,97,1885
207,91,2249
208,94,2185
209,87,2146
210,99,2223
211,86,2064
212,82,2137
213,75,1788
214,88,1986
215,78,2166
216,94,2078
217,90,2335
218,91,2388
219,99,2106
220,77,2245
221,88,2141
222,94,2160
223,84,2043
224,97,1999
225,97,2153
226,88,1983
227,85,1876
228,91,2205
229,86,2145
230,84,2138
231,88,2349
232,88,2126
233,78,2412
234,86,2398
235,98,2267
236,96,2261
237,88,1832
238,79,1846
239,97,1959
240,91,1860
241,97,1967
242,86,1851
243,93,1926
244,95,2122
245,76,1933
246,95,2090
247,97,2166
248,86,2250
249,81,1890
250,92,2106
251,87,2113
252,98,2355
253,87,2130
254,83,1970
255,85,1868
256,81,2418
257,81,1849
258,95,1997
259,91,1914
260,92,2116
261,87,2354
262,87,1887
263,94,2285
264,92,2120
265,93,2403
266,85,2009
267,103,2300
268,107,2083
269,90,2207
270,99,1927
271,86,2173
272,95,1946
273,79,2094
274,92,1837
275,82,2110
276,88,1958
277,95,2063
278,92,2191
279,92,1993
280,93,2225
281,100,2084
282,83,2380
283,99,2003
284,87,1986
285,98,1890
286,82,2311
287,79,1829
288,72,2170
