seed,violations,score
0,235,5387
1,245,7103
2,221,5330
3,225,5734
4,233,5830
5,229,5516
6,226,5942
7,236,6101
8,215,6103
9,235,7191
10,229,6294
11,243,5989
12,244,5822
13,234,6148
14,272,5775
15,222,6179
16,237,6140
17,232,6797
18,227,6291
19,229,6450
20,212,7069
21,243,6553
22,229,6499
23,246,5571
24,247,6897
25,219,6434
26,221,7116
27,229,6662
28,225,6705
29,239,6650
30,236,6095
31,232,6153
32,254,6675
33,210,6209
34,202,6587
35,231,6893
36,242,6405
37,245,6544
38,235,6836
39,263,6906
40,218,5941
41,238,6195
42,227,6698
43,247,6884
44,221,6026
45,241,6123
46,221,6340
47,210,7455
48,222,6129
49,233,6120
50,227,6174
51,225,6219
52,216,6454
53,238,6369
54,248,6300
55,228,6335
56,227,6501
57,223,6199
58,241,6486
59,216,6690
60,235,6866
61,227,6573
62,213,7207
63,225,6553
64,226,6299
65,214,6938
66,238,6308
67,238,6310
68,246,6569
69,235,6014
70,224,6656
71,220,6987
72,258,6035
73,217,6608
74,224,5279
75,228,5956
76,238,6267
77,229,6504
78,239,6036
79,238,6133
80,232,6527
81,213,7270
82,247,6441
83,213,6878
84,269,6634
85,241,7143
86,240,6339
87,241,7593
88,255,6899
89,241,6077
90,219,6966
91,242,6458
92,227,6087
93,225,7030
94,236,6848
95,227,6605
96,244,6878
97,223,6449
98,224,6313
99,247,5911
100,245,6093
101,256,5864
102,209,6877
103,239,6304
104,248,5558
105,223,6683
106,218,6875
107,255,5584
108,244,7671
109,231,7329
110,249,6439
111,249,6751
112,235,7255
113,238,7189
114,248,6631
115,245,7869
116,230,6663
117,235,6516
118,231,6406
119,234,6513
120,242,5432
121,227,6201
122,245,7233
123,252,6471
124,242,6980
125,257,7254
126,235,6606
127,232,5737
128,214,5981
129,238,6656
130,242,6129
131,255,6317
132,215,7056
133,239,6972
134,218,5542
135,261,6559
136,242,7073
137,240,6499
138,206,6584
139,209,6493
140,215,6884
141,255,6345
142,248,5948
143,224,5645
144,248,6392
145,228,6315
146,238,6162
147,222,5789
148,237,6565
149,229,6592
150,254,6807
151,228,6178
152,232,5540
153,237,6407
154,233,6284
155,214,6649
156,241,6252
157,242,7024
158,228,6786
159,199,6961
160,231,6453
161,246,6491
162,232,6231
163,230,6258
164,243,6355
165,230,7137
166,240,6942
167,246,6397
168,235,6144
169,224,6372
170,235,7066
171,245,7130
172,242,7446
173,240,6207
174,243,7426
175,227,6661
176,228,6117
177,219,6413
178,224,6399
179,224,6735
180,233,6826
181,237,6085
182,237,7288
183,227,6424
184,217,6792
185,241,5913
186,228,6961
187,250,6916
188,228,6406
189,233,6400
190,229,6712
191,239,7033
192,235,5472
193,235,6696
194,242,6624
195,248,6241
196,244,7233
197,220,5725
198,213,6021
199,228,7246
200,250,7282
201,243,6998
202,226,6013
203,212,5876
204,244,7196
205,225,6383
206,236,6178
207,229,6155
208,225,6185
209,251,6515
210,247,6536
211,236,7505
212,251,5912
213,235,6655
214,254,6563
215,252,6540
216,239,6764
217,214,6815
218,233,6264
219,234,6546
220,240,6717
221,228,5552
222,225,6572
223,222,5667
224,231,6384
225,247,6022
226,271,6194
227,243,6292
228,241,6207
229,235,6466
230,254,6907
231,197,6698
232,267,5457
233,232,6458
234,250,6253
235,258,7145
236,230,6783
237,233,6864
238,236,5760
239,237,6179
240,225,6139
241,253,6427
242,219,6819
243,252,6548
244,225,6292
245,219,6807
246,241,6801
247,234,6785
248,222,5884
249,251,6051
250,249,6555
251,241,6415
252,226,6722
253,212,5835
254,226,6063
255,272,6088
256,230,6893
257,224,5847
258,237,5941
259,219,6537
260,232,6031
261,240,6398
262,239,5679
263,240,6351
264,237,6007
265,240,6575
266,214,5968
267,239,6304
268,233,6587
269,260,6895
270,223,6457
271,222,6795
272,240,6437
273,254,6376
274,233,6379
275,237,6483
276,243,5517
277,246,6270
278,217,6857
279,226,7033
280,219,6283
281,235,6264
282,246,5937
283,240,6556
284,217,7709
285,249,6432
286,249,6261
287,251,7108
288,221,6653
289,241,6852
290,237,7349
291,238,5687
292,246,6237
293,256,6929
294,246,7074
295,236,6873
296,214,7204
297,237,6905
298,246,6282
299,223,6438
300,215,5666
301,235,6314
302,217,7463
303,235,6012
304,218,6777
305,232,6054
306,212,5966
307,206,5953
308,239,6033
309,225,7283
310,221,6010
311,233,6680
312,222,7117
313,251,6366
314,233,6865
315,223,5977
316,232,7184
317,229,6420
318,226,6852
319,236,6043
320,232,6192
321,240,6817
322,246,7008
323,240,6198
324,246,6445
325,222,6653
326,249,6783
327,235,6139
328,219,6281
329,210,6190
330,228,5192
331,237,6847
332,234,5926
333,244,6427
334,218,5626
335,223,6374
336,245,6169
337,238,6523
338,197,7211
339,211,5786
340,258,6495
341,235,6538
342,211,6988
343,212,6434
344,225,7370
345,245,6889
346,233,6452
347,234,5787
348,217,5811
349,236,6564
350,236,6729
351,234,6516
352,214,6715
353,226,6587
354,226,6791
355,227,5975
356,263,6478
357,221,7624
358,254,6751
359,220,7040
360,246,5346
361,263,6711
362,233,5785
363,230,6565
364,222,6342
365,209,6671
366,250,6584
367,250,6823
368,232,5882
369,224,6782
370,242,6139
371,237,6932
372,233,6214
373,235,6306
374,226,6750
375,229,6247
376,261,5397
377,239,6576
378,226,6554
379,241,5646
380,221,6285
381,232,6055
382,238,6521
383,264,6531
384,230,5524
385,238,6374
386,213,7057
387,215,6246
388,232,7583
389,238,6944
390,256,6341
391,233,6950
392,237,6090
393,253,6388
394,238,6355
395,249,7127
396,228,6437
397,242,5783
398,217,6424
399,230,5747
400,221,7304
401,243,6123
402,253,6319
403,229,5572
404,252,6264
405,209,6624
406,220,6448
407,226,6291
408,239,6612
409,233,6276
410,233,6353
411,241,5994
412,222,6498
413,235,5628
414,240,6446
415,239,6761
416,210,6544
417,243,5536
418,250,7418
419,242,6768
420,225,5559
421,244,7289
422,250,6624
423,222,6367
424,214,6535
425,220,6992
426,259,5931
427,248,6732
428,245,7296
429,235,6820
430,212,6940
431,232,5968
432,203,6953
433,247,6172
434,237,6304
435,229,6443
436,217,6231
437,225,6818
438,233,6244
439,240,7145
440,235,6387
441,233,7148
442,222,6044
443,237,5810
444,236,7011
445,246,6546
446,245,5818
447,226,6230
448,212,6582
449,236,6591
450,225,7579
451,250,5878
452,241,6489
453,241,6987
454,227,6627
455,238,7435
456,235,6934
457,242,6507
458,232,7151
459,237,6599
460,239,6228
461,250,5949
462,243,6033
463,234,7294
464,233,7022
465,214,6794
466,236,6844
467,224,6292
468,233,7470
469,230,6771
470,244,6259
471,225,6927
472,233,6398
473,226,6222
474,249,6490
475,234,6436
476,226,6523
477,242,7002
478,246,7288
479,220,6629
480,229,6622
481,229,6486
482,213,6718
483,223,6926
484,225,6245
485,208,7121
486,228,7161
487,236,6817
488,228,5775
489,238,6527
490,241,6734
491,222,6133
492,227,7218
493,227,6409
494,243,5766
495,252,7264
496,222,6747
497,215,6984
498,235,6775
499,233,6428
500,243,6368
501,229,7121
502,226,6072
503,226,6041
504,257,6244
505,227,5722
506,239,5327
507,228,5860
508,233,7194
509,228,6189
510,246,5839
511,236,6635
512,228,7213
513,231,6848
514,229,5961
515,244,6100
516,263,6346
517,204,6322
518,220,7321
519,236,6174
520,216,6199
521,230,6145
522,240,6842
523,235,6386
524,217,5944
525,243,6580
526,226,6436
527,215,6716
528,222,6367
529,244,6388
530,221,6624
531,229,6230
532,240,6092
533,256,6596
534,248,6062
535,217,6946
536,234,5908
537,251,6500
538,235,5965
539,233,6191
540,260,6387
541,224,6918
542,236,5707
543,232,6213
544,235,6003
545,200,6967
546,222,6782
547,243,6286
548,236,7163
549,225,6864
550,233,6325
551,227,6705
552,231,6814
553,217,6131
554,229,6749
555,233,6495
556,255,7149
557,248,6476
558,238,6611
559,232,6510
560,233,6767
561,217,6162
562,245,6812
563,236,5721
564,228,6301
565,250,6701
566,236,6794
567,204,5909
568,230,6718
569,245,6908
570,220,7060
571,221,6500
572,231,6706
573,243,6752
574,249,6615
575,229,5639
576,238,7337
