seed,violations,score
0,253,6160
1,278,5923
2,274,5774
3,238,6202
4,272,6340
5,250,7063
6,270,6094
7,255,6939
8,278,7164
9,236,7658
10,263,6710
11,252,7766
12,271,7285
13,269,7769
14,256,7080
15,277,7273
16,251,7317
17,236,6760
18,284,7366
19,254,7016
20,271,7142
21,257,7287
22,273,7621
23,272,7455
24,273,7652
25,270,7494
26,271,7370
27,268,7519
28,248,8155
29,258,8299
30,262,7163
31,264,7785
32,257,7327
33,268,7111
34,274,7546
35,235,7911
36,263,7256
37,266,7693
38,272,7106
39,257,6465
40,254,6977
41,264,8111
42,267,6925
43,281,7388
44,269,7211
45,288,6985
46,270,6884
47,260,7330
48,292,7553
49,270,7669
50,239,7533
51,257,7230
52,266,7370
53,281,8947
54,291,6828
55,281,8214
56,275,6474
57,261,7251
58,287,7895
59,252,6459
60,244,7760
61,263,7468
62,280,7069
63,265,7358
64,287,7280
65,259,7348
66,272,7650
67,269,7922
68,260,6690
69,272,7706
70,282,6948
71,253,8158
72,271,7066
73,280,7058
74,277,7697
75,254,7198
76,292,7912
77,255,7237
78,269,7449
79,275,7857
80,264,6829
81,254,7737
82,257,7460
83,255,7493
84,270,7456
85,275,7891
86,272,7349
87,269,7075
88,262,6759
89,271,6602
90,298,7709
91,267,7568
92,264,7960
93,274,7148
94,262,7817
95,247,7684
96,294,7042
97,280,7202
98,281,7397
99,261,7497
100,256,7907
101,268,6441
102,258,7663
103,267,7296
104,273,7268
105,267,7204
106,257,7588
107,245,6618
108,279,7707
109,279,7546
110,285,7458
111,268,7588
112,275,7394
113,250,7936
114,269,8523
115,256,8228
116,284,7532
117,287,7133
118,258,7877
119,259,7143
120,290,7494
121,279,6975
122,292,7425
123,276,6743
124,281,7148
125,256,7141
126,263,7369
127,273,6957
128,266,7537
129,254,7043
130,254,7638
131,272,7937
132,260,8432
133,274,7753
134,260,7991
135,287,7123
136,283,7302
137,290,7793
138,264,7222
139,267,7603
140,267,8220
141,271,7912
142,267,7659
143,264,7019
144,284,6819
145,272,7605
146,280,7291
147,268,7493
148,285,7406
149,262,6195
150,263,7006
151,278,7950
152,264,7572
153,277,7424
154,255,7341
155,251,6962
156,285,7146
157,268,6982
158,261,7654
159,262,6844
160,282,7254
161,264,7868
162,275,7855
163,261,7745
164,259,6835
165,284,7182
166,260,7463
167,249,6549
168,274,7262
169,264,7134
170,247,7087
171,270,7968
172,275,7621
173,288,7628
174,241,7919
175,276,6648
176,260,7302
177,272,7900
178,274,7072
179,290,7698
180,269,7096
181,254,8033
182,277,7727
183,259,7812
184,299,7279
185,278,7029
186,263,8001
187,264,7204
188,271,7856
189,262,7536
190,250,7556
191,274,7973
192,267,7465
193,254,7762
194,257,6975
195,280,6768
196,267,7040
197,255,7248
198,292,7667
199,280,7330
200,258,7177
201,260,7858
202,288,7439
203,258,6650
204,255,7519
205,264,7054
206,273,7817
207,270,7977
208,256,7810
209,266,7074
210,255,6972
211,248,7218
212,276,7319
213,272,7498
214,266,8067
215,267,6693
216,278,6537
217,271,7125
218,279,7986
219,259,7045
220,287,6906
221,249,8178
222,270,6942
223,259,6962
224,282,7298
225,273,7436
226,287,7189
227,268,7536
228,289,7721
229,249,6727
230,266,7655
231,256,6719
232,271,7074
233,256,7303
234,279,7361
235,257,7889
236,274,8076
237,271,7820
238,262,7491
239,253,7580
240,276,7676
241,258,7434
242,281,7131
243,271,6308
244,256,6753
245,269,7486
246,273,7167
247,276,7960
248,252,7042
249,246,7346
250,272,7189
251,263,7550
252,263,6818
253,264,7429
254,275,7188
255,276,7112
256,239,6702
257,268,7491
258,248,7899
259,272,7286
260,254,7573
261,271,7169
262,269,8284
263,266,7188
264,281,7528
265,265,7469
266,282,7343
267,257,7806
268,291,7025
269,257,7024
270,248,7139
271,286,7608
272,262,7594
273,278,7997
274,251,7744
275,240,7294
276,264,7458
277,270,7217
278,289,7586
279,258,7129
280,260,6979
281,252,7061
282,273,6940
283,272,7425
284,257,8378
285,279,8281
286,262,8532
287,252,7795
288,256,7277
289,288,7533
290,263,8133
291,254,8124
292,269,7455
293,281,7326
294,275,6716
295,258,7104
296,272,6994
297,272,7216
298,248,7061
299,261,7240
300,280,6835
301,269,7445
302,274,7368
303,277,7557
304,270,7849
305,255,7413
306,272,7649
307,270,8410
308,296,8108
309,267,6717
310,273,7058
311,257,6066
312,259,7678
313,267,7826
314,282,8102
315,269,7603
316,268,7637
317,265,6906
318,267,7314
319,263,8492
320,275,7898
321,255,7360
322,280,7080
323,265,7750
324,267,7863
325,294,7143
326,248,6907
327,254,7913
328,273,7556
329,259,7822
330,286,7611
331,275,7191
332,291,8020
333,285,7688
334,307,7502
335,284,7710
336,271,8096
337,264,7491
338,257,7068
339,270,7215
340,290,7634
341,256,7559
342,258,8527
343,287,8107
344,266,8009
345,259,8007
346,248,8036
347,257,7566
348,274,7226
349,283,6976
350,268,7687
351,269,7471
352,265,7614
353,258,7367
354,261,6667
355,273,7081
356,283,7406
357,274,8127
358,234,8021
359,274,8311
360,266,7569
361,280,8289
362,266,7581
363,262,7767
364,284,7409
365,268,7348
366,256,7500
367,273,7735
368,275,7023
369,271,7898
370,274,7223
371,284,7585
372,266,6771
373,273,6745
374,274,7315
375,269,6467
376,263,7548
377,280,7784
378,277,7853
379,294,7879
380,269,7504
381,259,7003
382,266,7824
383,254,6607
384,263,7159
385,285,7463
386,262,7416
387,274,7938
388,296,7199
389,269,7671
390,265,7443
391,265,7975
392,272,7228
393,260,8079
394,264,7636
395,272,7621
396,295,7075
397,274,7054
398,252,7886
399,269,6748
400,265,8050
401,269,6872
402,274,7724
403,250,7035
404,275,7622
405,259,6786
406,289,7648
407,263,8031
408,265,7018
409,248,7192
410,249,7153
411,294,7714
412,259,7555
413,287,7293
414,268,6922
415,271,7251
416,260,7586
417,284,6938
418,252,7180
419,274,8360
420,288,8202
421,265,8191
422,264,6565
423,253,8259
424,267,7782
425,282,7574
426,269,8271
427,279,8068
428,259,6711
429,261,7440
430,242,7990
431,290,7602
432,278,7934
433,271,7855
434,259,8224
435,267,7440
436,276,7666
437,264,6818
438,273,6893
439,264,7262
440,284,7516
441,269,6871
442,278,7614
443,240,7301
444,275,7741
445,294,7703
446,249,6948
447,268,8260
448,253,7789
449,264,6407
450,285,6732
451,252,6660
452,268,7503
453,277,7499
454,271,7291
455,262,7699
456,257,7802
457,297,8293
458,281,6977
459,264,6551
460,272,8165
461,278,7338
462,258,7171
463,276,7774
